Port Name, COM1, 
Baudrate, 9600, 
Databit, 7, 
Parity, Even, 
Stopbit, One, 
Timeout, 200ms
Device Number, 01
Logging cycle, 200ms

Turn, Time, Address, Item Name, WriteValue, Read Value, Status, Com Error Count, Data Error Count, 
1, 14:51:13:338, '0000, Item1, , 75, OK, , 
1, 14:51:13:585, '0000, Item2, , 75, OK, , 
1, 14:51:13:832, '0000, Item3, , 75, OK, , 
1, 14:51:14:080, '0000, Item4, , 75, OK, , 
1, 14:51:14:329, '0000, Item5, , 75, OK, , 
2, 14:51:14:779, '0000, Item1, , 75, OK, , 
2, 14:51:15:060, '0000, Item2, , 75, OK, , 
2, 14:51:15:340, '0000, Item3, , 75, OK, , 
2, 14:51:15:572, '0000, Item4, , 75, OK, , 
2, 14:51:15:978, '0000, Item5, , ----, NG, 1, 
3, 14:51:16:585, '0000, Item1, , ----, NG, 1, 
3, 14:51:16:987, '0000, Item2, , ----, NG, 1, 
3, 14:51:17:405, '0000, Item3, , ----, NG, 1, 
3, 14:51:17:826, '0000, Item4, , ----, NG, 1, 
3, 14:51:18:239, '0000, Item5, , ----, NG, 2, 
4, 14:51:18:844, '0000, Item1, , ----, NG, 2, 
4, 14:51:19:252, '0000, Item2, , ----, NG, 2, 
4, 14:51:19:656, '0000, Item3, , ----, NG, 2, 
4, 14:51:20:061, '0000, Item4, , ----, NG, 2, 
4, 14:51:20:479, '0000, Item5, , ----, NG, 3, 
5, 14:51:21:083, '0000, Item1, , ----, NG, 3, 
5, 14:51:21:487, '0000, Item2, , ----, NG, 3, 
5, 14:51:21:891, '0000, Item3, , ----, NG, 3, 
5, 14:51:22:305, '0000, Item4, , ----, NG, 3, 
5, 14:51:22:710, '0000, Item5, , ----, NG, 4, 
6, 14:51:23:314, '0000, Item1, , ----, NG, 4, 
6, 14:51:23:730, '0000, Item2, , ----, NG, 4, 
6, 14:51:24:136, '0000, Item3, , ----, NG, 4, 
6, 14:51:24:538, '0000, Item4, , ----, NG, 4, 
6, 14:51:24:939, '0000, Item5, , ----, NG, 5, 
7, 14:51:25:560, '0000, Item1, , ----, NG, 5, 
7, 14:51:25:978, '0000, Item2, , ----, NG, 5, 
7, 14:51:26:381, '0000, Item3, , ----, NG, 5, 
7, 14:51:26:786, '0000, Item4, , ----, NG, 5, 
7, 14:51:27:191, '0000, Item5, , ----, NG, 6, 
8, 14:51:27:799, '0000, Item1, , ----, NG, 6, 
8, 14:51:28:212, '0000, Item2, , ----, NG, 6, 
8, 14:51:28:613, '0000, Item3, , ----, NG, 6, 
8, 14:51:29:015, '0000, Item4, , ----, NG, 6, 
8, 14:51:29:432, '0000, Item5, , ----, NG, 7, 
9, 14:51:30:034, '0000, Item1, , ----, NG, 7, 
9, 14:51:30:437, '0000, Item2, , ----, NG, 7, 
